"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
14,5,0,0,0
9,1,0,0,0
10,2,0,0,0
21,6,3,0,0
13,4,3,0,0
18,4,3,0,0
0,0,0,0,0
11,4,3,0,0
9,2,0,0,0
11,4,3,0,0
10,3,3,0,0
10,3,3,0,0
10,3,3,0,0
10,3,3,0,0
3,0,0,0,0
4,0,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
3,1,0,0,0
4,1,0,0,0
3,1,0,0,0
6,1,0,0,0
3,0,0,0,0
10,3,3,0,0
7,3,3,0,0
10,3,3,0,0
0,0,0,0,0
0,0,0,0,0
19,6,6,9,0
22,8,6,9,0
20,7,6,9,0
18,6,6,9,0
16,6,6,9,0
19,6,6,9,0
19,6,3,0,0
13,3,3,0,0
22,8,6,9,0
20,7,6,9,0
15,3,0,0,0
23,9,6,9,0
19,6,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
0,0,0,0,0
0,0,0,0,0
8,4,3,0,0
7,3,3,0,0
6,2,0,0,0
8,4,3,0,0
0,0,0,0,0
7,3,3,0,0
13,3,3,0,0
13,3,3,0,0
6,3,3,0,0
0,0,0,0,0
16,6,6,9,0
16,6,6,9,0
16,6,6,9,0
16,6,6,9,0
16,6,6,9,0
6,0,0,0,0
16,6,6,9,0
2,0,0,0,0
12,1,0,0,0
2,0,0,0,0
9,3,3,0,0
15,3,3,0,0
12,3,3,0,0
0,0,0,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
41,12,6,9,0
25,6,0,0,0
22,6,0,0,0
27,10,6,9,0
22,6,0,0,0
29,12,9,9,0
24,8,3,0,0
34,6,6,9,0
36,7,6,9,0
22,7,6,9,0
19,5,3,0,0
28,4,3,0,0
29,4,3,0,0
11,4,3,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,0,0,0,0
11,4,0,0,0
7,1,0,0,0
12,5,3,0,0
12,5,3,0,0
10,3,0,0,0
10,3,3,0,0
6,0,0,0,0
8,3,3,0,0
20,5,3,0,0
18,4,3,0,0
16,7,6,0,0
12,4,3,0,0
14,5,3,0,0
14,5,3,0,0
16,7,6,0,0
0,0,0,0,0
2,1,0,0,0
9,1,0,0,0
0,0,0,0,0
27,9,9,27,19
27,9,9,27,19
28,9,9,27,19
27,9,9,27,19
27,9,9,27,19
28,9,9,27,19
27,9,9,27,19
28,9,9,27,19
27,9,9,27,19
28,9,9,27,19
3,0,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
15,1,0,0,0
6,0,0,0,0
10,2,0,0,0
18,1,0,0,0
11,4,0,0,0
9,2,0,0,0
4,1,0,0,0
4,1,0,0,0
4,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15,0,0,0,0
0,0,0,0,0
6,2,0,0,0
8,4,3,0,0
8,4,3,0,0
7,3,3,0,0
0,0,0,0,0
0,0,0,0,0
5,2,0,0,0
15,1,0,0,0
4,0,0,0,0
3,1,0,0,0
2,1,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
23,5,3,0,0
22,4,3,0,0
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
32,9,9,27,19
21,4,3,0,0
20,4,3,0,0
23,6,6,0,0
1,0,0,0,0
1,0,0,0,0
16,3,0,0,0
35,7,6,9,0
25,10,6,9,0
23,8,6,9,0
38,9,6,9,0
36,7,6,9,0
21,7,3,0,0
26,11,9,9,0
19,5,0,0,0
20,5,0,0,0
19,5,3,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
17,6,6,9,0
19,6,6,9,0
17,6,6,9,0
17,6,6,9,0
15,6,6,9,0
17,6,6,9,0
0,0,0,0,0
3,1,0,0,0
3,1,0,0,0
8,0,0,0,0
2,0,0,0,0
0,0,0,0,0
12,3,3,0,0
11,3,3,0,0
9,4,3,0,0
0,0,0,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
2,1,0,0,0
2,1,0,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
0,0,0,0,0
1,0,0,0,0
5,0,0,0,0
4,0,0,0,0
4,2,0,0,0
4,2,0,0,0
4,2,0,0,0
12,3,3,0,0
12,3,3,0,0
9,0,0,0,0
12,3,3,0,0
9,1,0,0,0
9,1,0,0,0
18,4,3,0,0
10,0,0,0,0
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,1,0,0,0
5,2,0,0,0
0,0,0,0,0
51,6,6,9,0
15,6,6,9,0
16,6,6,9,0
51,6,6,9,0
52,7,6,9,0
16,6,6,9,0
6,3,3,0,0
7,3,3,0,0
7,3,3,0,0
0,0,0,0,0
11,4,3,0,0
10,3,3,0,0
6,0,0,0,0
8,2,0,0,0
7,1,0,0,0
10,3,0,0,0
11,4,3,0,0
3,0,0,0,0
20,4,0,0,0
0,0,0,0,0
0,0,0,0,0
20,6,6,9,0
20,6,6,9,0
20,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
2,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
17,4,3,0,0
16,3,3,0,0
31,7,6,9,0
31,7,6,9,0
31,7,6,9,0
24,3,0,0,0
11,0,0,0,0
16,3,3,0,0
25,7,6,9,0
25,7,6,9,0
25,7,6,9,0
11,0,0,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
15,6,6,9,0
15,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
16,6,6,9,0
2,0,0,0,0
4,1,0,0,0
3,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
21,6,6,9,0
20,6,6,9,0
20,6,6,9,0
16,6,6,9,0
16,6,6,9,0
15,6,6,9,0
8,3,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
2,0,0,0,0
3,0,0,0,0
5,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
7,1,0,0,0
6,1,0,0,0
8,3,3,0,0
8,3,3,0,0
8,3,3,0,0
3,0,0,0,0
0,0,0,0,0
4,1,0,0,0
1,0,0,0,0
8,0,0,0,0
28,9,6,9,0
28,9,6,9,0
23,6,6,9,0
28,10,9,9,0
22,6,3,0,0
23,7,6,9,0
22,6,3,0,0
23,7,6,9,0
0,0,0,0,0
49,12,12,54,76
49,12,12,54,76
49,12,12,54,76
49,12,12,54,76
49,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
42,12,12,54,76
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
19,3,3,0,0
6,3,3,0,0
19,3,3,0,0
7,0,0,0,0
12,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
19,7,6,9,0
19,7,6,9,0
17,6,6,9,0
16,5,3,0,0
16,5,3,0,0
21,9,9,9,0
19,7,6,9,0
19,7,6,9,0
6,3,3,0,0
7,3,3,0,0
7,3,3,0,0
0,0,0,0,0
7,3,3,0,0
7,3,3,0,0
3,0,0,0,0
7,3,3,0,0
30,9,9,27,19
31,9,9,27,19
30,9,9,27,19
28,9,9,27,19
27,9,9,27,19
28,9,9,27,19
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
15,5,3,0,0
14,4,3,0,0
8,0,0,0,0
9,0,0,0,0
17,7,6,0,0
14,4,0,0,0
15,5,3,0,0
14,4,3,0,0
9,1,0,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
10,4,3,0,0
10,4,3,0,0
10,4,3,0,0
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
17,5,3,0,0
15,4,3,0,0
20,7,3,0,0
0,0,0,0,0
0,0,0,0,0
6,2,0,0,0
1,0,0,0,0
1,0,0,0,0
7,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
19,8,3,0,0
18,7,3,0,0
18,7,3,0,0
16,5,0,0,0
16,5,0,0,0
13,4,3,0,0
11,2,0,0,0
25,8,6,9,0
24,7,6,9,0
22,6,6,9,0
17,3,3,0,0
17,3,3,0,0
22,6,3,0,0
27,10,9,9,0
25,8,6,9,0
21,5,0,0,0
21,5,3,0,0
24,7,6,9,0
13,1,0,0,0
16,3,3,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
1,0,0,0,0
3,1,0,0,0
8,3,3,0,0
8,3,3,0,0
4,0,0,0,0
7,3,3,0,0
12,0,0,0,0
13,1,0,0,0
12,0,0,0,0
16,3,3,0,0
10,3,3,0,0
7,1,0,0,0
16,3,3,0,0
0,0,0,0,0
13,4,3,0,0
8,3,3,0,0
13,4,3,0,0
12,3,0,0,0
13,4,3,0,0
13,4,3,0,0
7,3,3,0,0
12,3,0,0,0
14,5,3,0,0
11,2,0,0,0
12,3,3,0,0
0,0,0,0,0
24,3,3,0,0
28,6,0,0,0
27,7,6,9,0
27,7,6,9,0
27,7,6,9,0
20,6,6,9,0
20,6,6,9,0
20,6,6,9,0
8,0,0,0,0
15,5,3,0,0
15,5,3,0,0
15,5,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
0,0,0,0,0
20,4,3,0,0
21,4,3,0,0
20,6,3,0,0
24,6,6,0,0
13,3,3,0,0
14,5,3,0,0
16,5,3,0,0
21,6,3,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
3,0,0,0,0
7,3,3,0,0
0,0,0,0,0
11,4,0,0,0
14,6,3,0,0
11,3,3,0,0
12,5,3,0,0
0,0,0,0,0
3,1,0,0,0
6,1,0,0,0
7,2,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
60,14,12,54,76
71,18,18,99,152
70,18,18,99,152
60,14,12,54,76
65,16,15,81,133
69,18,18,99,152
55,12,9,27,19
62,14,12,54,76
61,14,12,54,76
56,13,12,54,76
60,14,12,54,76
72,19,18,99,152
62,14,12,54,76
67,16,15,81,133
71,18,18,99,152
57,12,9,27,19
61,14,12,54,76
66,16,15,81,133
70,18,18,99,152
56,12,9,27,19
56,13,12,54,76
60,14,12,54,76
65,16,15,81,133
55,12,9,27,19
0,0,0,0,0
0,0,0,0,0
7,0,0,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
0,0,0,0,0
49,6,6,9,0
83,16,6,9,0
49,6,6,9,0
49,6,6,9,0
15,6,6,9,0
49,6,6,9,0
0,0,0,0,0
2,1,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
60,15,15,90,190
33,12,12,27,0
33,12,12,27,0
27,8,6,9,0
28,8,6,9,0
27,8,6,9,0
33,12,12,27,0
27,8,6,9,0
28,8,6,9,0
27,8,6,9,0
27,8,6,9,0
28,8,6,9,0
27,8,6,9,0
8,4,3,0,0
7,3,3,0,0
6,2,0,0,0
8,4,3,0,0
0,0,0,0,0
4,2,0,0,0
4,2,0,0,0
5,0,0,0,0
15,3,3,0,0
5,0,0,0,0
10,0,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
0,0,0,0,0
1,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8,4,3,0,0
7,3,3,0,0
7,3,3,0,0
0,0,0,0,0
0,0,0,0,0
43,4,3,0,0
40,3,3,0,0
10,3,3,0,0
3,0,0,0,0
2,1,0,0,0
2,1,0,0,0
2,1,0,0,0
2,1,0,0,0
29,10,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
28,9,9,27,19
27,9,9,27,19
27,9,9,27,19
27,9,9,27,19
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
7,2,0,0,0
10,5,3,0,0
8,3,3,0,0
9,4,3,0,0
4,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
3,0,0,0,0
2,0,0,0,0
2,1,0,0,0
0,0,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,2,0,0,0
8,4,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
0,0,0,0,0
10,4,3,0,0
10,4,3,0,0
10,4,3,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
76,9,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
11,2,0,0,0
1,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,2,0,0,0
8,4,3,0,0
8,4,3,0,0
7,3,3,0,0
4,1,0,0,0
5,2,0,0,0
3,0,0,0,0
4,1,0,0,0
23,7,6,0,0
20,4,3,0,0
20,4,3,0,0
13,0,0,0,0
27,7,6,9,0
27,7,6,9,0
20,4,3,0,0
20,4,3,0,0
13,0,0,0,0
27,7,6,9,0
0,0,0,0,0
8,3,3,0,0
8,3,3,0,0
8,4,3,0,0
0,0,0,0,0
21,6,6,9,0
21,6,6,9,0
21,6,6,9,0
22,6,6,9,0
21,6,6,9,0
21,6,6,9,0
22,6,6,9,0
22,6,6,9,0
21,6,6,9,0
21,6,6,9,0
21,6,6,9,0
21,6,6,9,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
4,2,0,0,0
4,2,0,0,0
4,2,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
1,0,0,0,0
3,0,0,0,0
1,0,0,0,0
16,6,6,9,0
15,6,6,9,0
15,6,6,9,0
16,6,6,9,0
16,6,6,9,0
15,6,6,9,0
0,0,0,0,0
2,0,0,0,0
1,0,0,0,0
11,5,3,0,0
8,3,0,0,0
10,5,3,0,0
9,3,3,0,0
17,6,6,9,0
18,7,6,9,0
17,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
0,0,0,0,0
0,0,0,0,0
7,3,0,0,0
5,1,0,0,0
2,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
6,3,3,0,0
7,3,3,0,0
7,3,3,0,0
11,3,0,0,0
10,5,3,0,0
8,3,3,0,0
8,3,0,0,0
10,5,3,0,0
62,14,12,54,76
61,14,12,54,76
56,13,12,54,76
60,14,12,54,76
72,19,18,99,152
62,14,12,54,76
67,16,15,81,133
71,18,18,99,152
57,12,9,27,19
61,14,12,54,76
66,16,15,81,133
70,18,18,99,152
56,12,9,27,19
56,13,12,54,76
60,14,12,54,76
65,16,15,81,133
55,12,9,27,19
0,0,0,0,0
7,3,3,0,0
3,1,0,0,0
1,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
12,3,3,0,0
12,3,3,0,0
0,0,0,0,0
2,1,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
8,4,3,0,0
8,4,3,0,0
6,2,0,0,0
7,3,3,0,0
2,1,0,0,0
2,1,0,0,0
16,6,6,9,0
16,6,6,9,0
16,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
14,5,3,0,0
14,5,3,0,0
14,5,3,0,0
0,0,0,0,0
8,1,0,0,0
8,3,3,0,0
9,4,3,0,0
4,0,0,0,0
9,4,3,0,0
9,2,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
3,0,0,0,0
0,0,0,0,0
8,4,3,0,0
6,2,0,0,0
8,4,3,0,0
7,3,3,0,0
1,0,0,0,0
1,0,0,0,0
7,3,3,0,0
2,1,0,0,0
2,1,0,0,0
29,7,6,9,0
29,7,6,9,0
24,7,6,9,0
37,13,9,18,0
32,9,6,9,0
32,9,9,18,0
32,9,6,9,0
32,9,9,18,0
21,6,3,0,0
15,3,3,0,0
27,9,6,9,0
21,6,3,0,0
1,0,0,0,0
0,0,0,0,0
5,1,0,0,0
5,1,0,0,0
0,0,0,0,0
12,5,3,0,0
12,5,3,0,0
10,3,0,0,0
2,1,0,0,0
2,1,0,0,0
1,0,0,0,0
1,0,0,0,0
22,4,3,0,0
9,3,3,0,0
9,3,3,0,0
9,3,3,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
1,0,0,0,0
17,5,3,0,0
22,7,6,9,0
21,9,9,9,0
19,7,6,9,0
17,5,3,0,0
22,7,6,9,0
20,6,6,9,0
19,7,6,9,0
7,3,3,0,0
6,3,3,0,0
7,3,3,0,0
0,0,0,0,0
0,0,0,0,0
4,2,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
8,4,3,0,0
7,3,3,0,0
6,2,0,0,0
8,4,3,0,0
3,0,0,0,0
7,3,3,0,0
21,3,3,0,0
21,3,3,0,0
21,3,3,0,0
52,13,12,54,76
55,14,12,54,76
53,13,12,54,76
50,12,12,54,76
53,13,12,54,76
52,13,12,54,76
50,12,12,54,76
47,12,12,54,76
50,12,12,54,76
53,13,12,54,76
50,12,12,54,76
53,13,12,54,76
48,12,12,54,76
51,13,12,54,76
48,12,12,54,76
3,0,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
12,2,0,0,0
13,3,3,0,0
13,3,3,0,0
14,4,3,0,0
14,4,3,0,0
13,3,3,0,0
13,3,3,0,0
9,3,3,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
5,1,0,0,0
7,3,3,0,0
0,0,0,0,0
0,0,0,0,0
8,0,0,0,0
31,10,6,9,0
24,6,6,9,0
24,6,6,9,0
24,6,6,9,0
24,6,6,9,0
7,0,0,0,0
17,6,6,9,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
11,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
12,1,0,0,0
21,6,3,0,0
21,6,3,0,0
20,5,0,0,0
12,1,0,0,0
25,9,9,9,0
24,8,6,9,0
23,7,6,9,0
24,8,6,9,0
23,7,6,9,0
22,7,6,9,0
17,5,3,0,0
0,0,0,0,0
7,3,3,0,0
8,4,3,0,0
8,4,3,0,0
6,2,0,0,0
7,3,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
14,5,3,0,0
14,5,3,0,0
14,5,3,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
7,2,0,0,0
4,1,0,0,0
3,0,0,0,0
6,3,3,0,0
6,3,3,0,0
